State,District,Season,Crop,Year,Area,Production,Yield,District_Mapped,District_Rain,Total_Rainfall,Avg_Rainfall_Per_Day,Rain_Days,Avg_Temp_Min,Avg_Temp_Max,Avg_Humidity_Min,Avg_Humidity_Max,Avg_Wind_Speed_Min,Avg_Wind_Speed_Max,Temp_Avg,Temp_Range,Humidity_Avg,Humidity_Range,Rainfall_Per_Day,GDD,Heat_Stress,Water_Stress,Optimal_Conditions,Area_Rainfall_Interaction,Area_Temp_Interaction,Years_Since_Start
Telangana,Adilabad,Kharif,Arhar/Tur,2018,23984.0,31923.0,1330.0,Adilabad,Adilabad,5210.7,4.491982758620689,1160.0,21.264137931034483,33.66504310344828,42.3274374460742,78.20163934426229,0.305,13.062727272727273,27.46459051724138,12.400905172413792,60.264538395168245,35.87420189818809,34.05686274509804,17.46459051724138,0,0,0,124973428.8,658710.7389655173,0
Telangana,Adilabad,Kharif,Arhar/Tur,2019,23803.0,29585.0,1240.0,Adilabad,Adilabad,2203.2,1.8561078348778437,1187.0,21.355181128896376,33.95509688289806,40.49052232518955,74.80905644481888,0.340578439964943,9.770289219982471,27.65513900589722,12.599915754001684,57.64978938500421,34.31853411962933,14.4,17.65513900589722,0,0,0,52442769.6,658275.2737573715,1
Telangana,Adilabad,Kharif,Arhar/Tur,2020,25002.0,22671.0,910.0,Adilabad,Adilabad,1130.8,1.5705555555555557,720.0,22.14229166666667,34.51201388888889,42.87569444444444,82.2786111111111,0.0885057471264367,5.763247863247863,28.327152777777776,12.36972222222222,62.57715277777777,39.40291666666666,7.390849673202614,18.327152777777776,0,0,1,28272261.6,708235.47375,2
Telangana,Adilabad,Kharif,Arhar/Tur,2021,24482.0,24286.0,990.0,Adilabad,Adilabad,4058.4,3.468717948717949,1170.0,21.48333333333333,33.505641025641026,41.635384615384616,77.69128205128206,0.0515384615384615,4.846239316239316,27.49448717948718,12.022307692307692,59.66333333333334,36.05589743589744,26.525490196078437,17.49448717948718,0,0,0,99357748.8,673120.0351282052,3
Telangana,Adilabad,Kharif,Arhar/Tur,2022,30725.0,30633.0,1000.0,Adilabad,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,4
Telangana,Adilabad,Rabi,Arhar/Tur,2020,40.0,36.0,900.0,Adilabad,Adilabad,1723.1,1.885229759299781,914.0,22.28129102844639,34.819857768052515,42.08063457330415,80.80382932166302,0.335180412371134,7.680882352941176,28.55057439824945,12.538566739606123,61.44223194748359,38.723194748358864,14.240495867768594,18.55057439824945,0,0,0,68924.0,1142.0229759299782,2
Telangana,Adilabad,Rabi,Arhar/Tur,2021,156.0,116.0,740.0,Adilabad,Adilabad,3855.0,3.893939393939394,990.0,21.001919191919196,33.49030303030303,42.73409090909091,78.67999999999999,0.081578947368421,5.718394308943089,27.246111111111112,12.48838383838384,60.70704545454545,35.94590909090908,31.859504132231404,17.246111111111112,0,0,0,601380.0,4250.393333333333,3
Telangana,Adilabad,Rabi,Arhar/Tur,2022,105.0,186.0,1770.0,Adilabad,Adilabad,2254.3,4.816880341880342,468.0,20.85320512820513,33.623717948717946,39.99017094017094,79.74700854700855,0.0474358974358974,5.191452991452992,27.238461538461536,12.77051282051282,59.86858974358975,39.75683760683761,18.630578512396696,17.238461538461536,0,0,0,236701.50000000003,2860.038461538461,4
Telangana,Bhadradri,Kharif,Arhar/Tur,2018,799.0,1008.0,1260.0,Bhadradri-Kothagudem,Bhadradri-Kothagudem,4737.7,3.008063492063492,1575.0,22.70634920634921,34.88494603174603,47.46711111111111,92.17018436109346,0.1739541160593792,8.530229419703103,28.79564761904762,12.178596825396829,69.81864773610229,44.70307324998235,30.96535947712418,18.79564761904762,0,0,0,3785422.3,23007.72244761905,0
Telangana,Bhadradri,Kharif,Arhar/Tur,2019,554.0,286.0,520.0,Bhadradri-Kothagudem,Bhadradri-Kothagudem,5177.2,3.435434638354346,1507.0,23.140610484406107,35.077033842070335,49.019993364299935,92.24978102189782,0.173177636234961,7.478768577494692,29.108822163238223,11.936423357664228,70.63488719309888,43.22978765759788,33.83790849673203,19.108822163238223,1,0,0,2868168.8,16126.287478433977,1
Telangana,Bhadradri,Kharif,Arhar/Tur,2020,2486.0,1782.0,720.0,Bhadradri-Kothagudem,Bhadradri-Kothagudem,2198.4,2.389565217391304,920.0,24.65544565217391,36.03952173913044,53.400902173913046,94.32806521739133,0.0144376899696048,6.965614430665164,30.347483695652173,11.384076086956526,73.86448369565218,40.92716304347827,14.368627450980393,20.347483695652173,1,0,0,5465222.4,75443.8444673913,2
Telangana,Bhadradri,Kharif,Arhar/Tur,2021,4661.0,4978.0,1070.0,Bhadradri-Kothagudem,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,3
Telangana,Bhadradri,Kharif,Arhar/Tur,2022,2852.0,2564.0,900.0,Bhadradri-Kothagudem,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,4
Telangana,Bhadradri,Rabi,Arhar/Tur,2018,11.0,14.0,1270.0,Bhadradri-Kothagudem,Bhadradri-Kothagudem,1668.6,1.7096311475409836,976.0,22.307889344262296,35.69743852459016,44.94446721311476,90.42233606557376,0.1118032786885245,8.980983606557377,29.00266393442623,13.389549180327863,67.68340163934427,45.47786885245902,13.790082644628098,19.00266393442623,1,0,0,18354.6,319.02930327868853,0
Telangana,Bhadradri,Rabi,Arhar/Tur,2019,11.0,6.0,550.0,Bhadradri-Kothagudem,Bhadradri-Kothagudem,10818.9,6.9889534883720925,1548.0,22.83082687338501,34.228720930232555,51.91955426356589,92.73739664082689,0.1916088765603328,8.022676837725381,28.529773901808785,11.39789405684754,72.32847545219639,40.81784237726098,89.41239669421488,18.529773901808785,0,0,0,119007.9,313.8275129198966,1
Telangana,Bhadradri,Rabi,Arhar/Tur,2021,65.0,48.0,740.0,Bhadradri-Kothagudem,Bhadradri-Kothagudem,3096.8,8.415217391304349,368.0,23.56407608695652,34.9235597826087,57.10826086956522,95.91434782608697,0.0411538461538461,6.572649572649572,29.24381793478261,11.359483695652177,76.5113043478261,38.80608695652175,25.593388429752068,19.24381793478261,0,0,0,201292.0,1900.8481657608695,3
Telangana,Bhadradri,Rabi,Arhar/Tur,2022,8.0,9.0,1130.0,Bhadradri-Kothagudem,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,4
